id;sexo;edad;deses16;deses17;deses18;deses19;satis16;satis19
468;1;24;1;1;2;NA;4;NA
469;1;54;2;NA;NA;NA;4;NA
470;2;35;1;1;1;2;4;4
471;1;45;2;NA;1;NA;4;NA
472;1;70;1;3;NA;2;5;4
473;1;51;1;2;2;NA;4;NA
474;2;36;1;NA;NA;NA;3;NA
475;2;29;2;3;2;1;4;5
476;1;47;1;4;2;2;4;4
477;1;52;1;1;NA;NA;4;NA
478;1;45;1;1;2;2;4;4
479;2;26;1;1;NA;NA;4;NA
480;1;33;1;2;2;1;4;3
481;2;32;1;1;1;1;5;4
482;2;23;2;NA;2;2;4;4
483;2;55;2;3;5;2;1;3
484;2;42;2;NA;NA;NA;3;NA
485;1;60;2;NA;NA;NA;4;NA
486;1;19;1;1;2;2;3;3
487;2;66;2;NA;1;2;4;4
488;1;27;2;1;2;1;3;3
489;2;54;2;2;2;2;3;3
490;1;31;3;2;3;2;3;2
491;2;35;2;2;2;3;5;3
492;2;35;1;NA;NA;NA;4;NA
493;2;32;2;NA;NA;NA;3;NA
494;1;58;1;4;1;2;5;4
495;2;37;2;1;2;5;3;4
496;1;38;1;1;2;1;5;2
497;1;38;1;NA;NA;NA;4;NA
498;2;28;2;1;2;1;4;4
499;2;49;2;4;2;2;3;4
500;2;31;1;1;2;1;4;4
501;1;66;2;1;2;1;4;4
502;2;36;1;1;1;2;4;3
503;2;44;1;5;NA;NA;4;NA
504;1;33;1;1;1;1;4;4
505;2;54;2;2;2;4;3;4
506;2;39;1;1;2;1;3;4
507;1;53;2;2;2;2;3;3
508;1;24;1;1;1;1;4;3
509;2;71;2;5;4;2;4;3
510;2;60;1;1;2;1;4;4
511;2;60;4;2;2;2;4;4
512;1;19;1;1;2;2;4;4
513;1;52;2;1;2;2;4;4
514;2;45;1;1;2;NA;2;NA
515;2;54;1;3;2;2;4;3
516;1;74;1;5;4;2;4;4
517;2;74;1;NA;2;NA;4;NA
518;1;61;2;4;1;2;2;2
519;1;22;2;2;NA;1;4;4
520;1;55;1;1;2;1;5;4
521;2;68;3;3;2;2;3;4
522;1;70;1;1;1;1;4;4
523;2;63;4;2;NA;2;4;4
524;2;42;2;2;2;2;3;4
525;2;35;1;1;1;1;4;4
526;2;37;2;1;3;4;3;3
527;1;34;1;3;3;2;3;3
528;1;54;1;1;1;1;5;4
529;1;34;1;2;1;2;4;4
530;1;73;1;NA;1;2;5;4
531;2;26;2;2;4;1;1;4
532;1;52;1;1;1;1;4;4
533;2;35;1;NA;1;2;4;4
534;1;35;1;3;NA;1;4;4
535;2;23;2;1;2;2;4;5
536;2;25;2;2;2;2;3;3
537;2;23;2;1;2;3;3;4
538;1;50;3;NA;NA;NA;2;NA
539;1;42;4;2;1;2;2;3
540;1;42;1;1;1;1;4;4
541;1;32;1;NA;NA;NA;3;NA
542;2;22;1;2;1;2;4;4
543;1;52;2;2;2;NA;3;NA
544;2;38;2;1;2;1;4;3
545;2;62;1;2;1;2;5;5
546;1;62;1;2;NA;NA;4;NA
547;2;23;1;NA;NA;1;5;4
548;1;57;1;2;1;1;4;4
549;1;54;2;4;3;2;1;4
550;2;48;1;NA;NA;NA;5;NA
551;1;47;1;1;1;1;4;4
552;2;24;4;3;4;2;4;4
553;2;28;2;1;1;1;4;4
554;2;25;1;1;2;2;5;4
555;1;70;1;NA;NA;NA;5;NA
556;1;19;2;1;2;NA;4;NA
557;2;30;4;1;NA;2;2;4
558;1;61;2;1;2;2;4;3
559;1;46;1;2;NA;3;4;3
560;2;45;1;2;2;1;3;4
561;2;56;1;2;NA;NA;3;NA
562;2;30;1;3;3;NA;4;NA
563;1;65;1;3;3;1;5;4
564;2;59;1;1;1;1;4;4
565;1;46;1;NA;NA;NA;3;NA
566;1;53;3;1;2;NA;3;NA
567;2;57;1;1;1;2;5;5
568;2;64;3;5;NA;NA;3;NA
569;1;51;2;2;1;1;2;4
570;2;45;2;2;1;2;3;2
571;2;64;3;NA;NA;NA;4;NA
572;2;35;1;NA;NA;NA;5;NA
573;2;42;2;NA;NA;NA;5;NA
574;1;53;4;1;1;1;2;3
575;2;32;2;2;2;2;5;3
576;2;59;1;1;2;2;4;4
577;2;38;2;1;2;2;4;3
578;2;34;1;1;2;2;4;4
579;1;23;1;1;NA;NA;2;NA
580;1;33;5;2;1;1;2;4
581;1;26;2;1;NA;NA;2;NA
582;2;46;2;2;2;2;4;3
583;2;21;2;2;NA;NA;4;NA
584;2;19;2;NA;2;1;4;4
585;1;25;2;NA;NA;NA;3;NA
586;1;21;2;NA;NA;NA;3;NA
587;1;21;2;1;3;1;4;3
588;2;22;1;1;1;1;4;4
589;2;46;2;4;NA;NA;4;NA
590;1;64;1;NA;NA;NA;4;NA
591;1;34;1;2;NA;NA;4;NA
592;1;28;2;2;2;2;3;4
593;2;50;1;3;2;3;4;4
594;2;59;1;1;1;2;5;5
595;2;52;1;2;1;NA;4;NA
596;1;42;2;1;NA;NA;3;NA
597;1;61;3;4;NA;NA;5;NA
598;1;57;1;2;1;NA;4;NA
599;1;57;1;NA;NA;NA;5;NA
600;2;40;1;1;1;2;4;4
601;2;44;2;2;2;2;3;3
602;1;47;2;2;2;2;2;2
603;1;47;1;1;NA;NA;4;NA
604;1;39;2;1;1;2;5;3
605;2;30;1;NA;NA;1;4;4
606;1;50;2;1;2;2;4;4
607;2;54;2;2;2;2;4;5
608;1;29;3;NA;NA;NA;2;NA
609;2;67;2;NA;2;1;4;3
610;2;26;2;2;1;2;5;3
611;1;34;1;1;1;NA;4;NA
612;2;78;2;2;1;4;5;4
613;2;63;2;2;1;2;3;4
614;2;34;1;1;1;1;4;4
615;2;28;2;2;2;2;3;4
616;2;51;1;1;1;1;4;4
617;1;46;1;NA;1;1;4;4
618;1;28;1;NA;NA;2;4;2
619;2;46;1;NA;NA;NA;4;NA
620;2;72;1;1;NA;2;3;4
621;1;24;1;1;1;1;3;4
622;2;50;1;1;1;1;5;4
623;2;24;1;1;1;1;4;4
624;2;33;1;1;1;2;4;4
625;2;50;1;1;1;1;4;4
626;1;41;2;1;NA;1;2;4
627;1;74;2;2;2;2;4;2
628;2;73;1;3;2;1;4;4
629;1;67;1;1;1;1;4;2
630;2;39;2;2;1;2;4;5
631;2;41;1;NA;NA;NA;5;NA
632;2;56;1;1;1;1;4;4
633;2;66;1;2;2;2;5;5
634;2;25;1;3;5;2;4;3
635;2;75;1;2;NA;2;5;4
636;1;66;1;2;1;1;5;4
637;2;48;4;2;3;2;3;4
638;2;33;2;1;1;1;4;4
639;2;41;2;1;NA;2;3;3
640;2;40;1;1;NA;NA;4;NA
641;1;35;1;2;NA;NA;3;NA
642;2;21;3;1;NA;1;2;4
643;2;75;2;1;2;2;3;4
644;2;53;1;2;2;1;3;4
645;1;57;1;2;1;2;3;4
646;1;29;1;3;NA;NA;3;NA
647;2;40;2;1;NA;2;4;4
648;2;46;2;2;4;2;4;4
649;2;35;1;1;2;2;3;4
