ID;nece1;nece7;nece13;nece19;nece1_2;nece7_2;nece13_2;nece19_2;nece1_3;nece7_3;nece13_3;nece19_3
376;5;5;5;5;5;4;5;2;4;4;4;3
377;5;4;5;4;5;3;5;5;3;3;3;5
378;5;5;5;5;5;5;5;5;1;5;4;5
379;4;1;2;3;3;3;3;4;4;4;4;4
380;1;2;3;1;4;4;4;4;5;5;5;5
381;2;3;3;5;5;5;5;5;5;5;5;5
382;-99;-99;-99;-99;3;5;5;5;-99;-99;-99;-99
383;4;1;5;3;3;3;3;3;3;3;3;3
384;3;3;4;2;-99;-99;-99;-99;4;4;4;4
385;4;4;4;3;-99;-99;-99;-99;4;4;3;4
386;5;5;3;3;5;5;5;4;4;5;5;5
387;3;3;3;2;3;4;4;4;5;3;3;4
388;5;4;4;4;5;5;5;5;5;5;5;5
389;3;3;3;4;-99;4;4;4;5;4;3;3
390;3;2;2;3;5;3;5;4;2;3;4;4
391;5;4;4;2;4;4;5;3;5;5;5;5
392;3;4;3;4;5;5;5;4;5;5;5;5
393;3;5;5;4;4;2;3;3;3;3;3;4
394;5;5;5;4;4;3;3;3;4;3;3;3
395;4;4;5;3;5;4;4;5;5;4;5;5
396;5;2;5;3;5;5;5;5;5;5;5;5
397;4;5;4;4;5;3;5;5;5;5;5;5
398;4;5;5;5;5;5;5;-99;4;5;5;5
399;5;5;5;1;4;4;5;4;3;4;4;3
400;3;-99;3;3;4;3;3;5;1;1;1;1
401;5;4;4;5;5;5;3;5;5;1;5;3
402;3;3;3;3;3;5;5;5;5;1;5;5
403;3;5;5;1;3;3;3;3;3;3;3;3
404;5;5;5;3;5;5;5;4;5;4;3;4
405;4;3;3;4;-99;-99;-99;-99;3;5;5;5
406;3;3;3;3;5;5;5;5;5;5;5;5
407;-99;-99;-99;-99;3;2;3;4;3;3;3;3
408;4;3;5;3;-99;-99;-99;-99;5;5;5;5
409;-99;-99;-99;-99;4;5;4;4;3;3;4;3
410;5;4;5;5;-99;-99;-99;-99;5;5;5;5
411;5;5;4;5;5;5;5;5;5;3;3;4
412;3;3;5;4;-99;-99;-99;-99;5;5;5;5
413;4;4;4;4;5;5;5;5;5;5;5;5
414;3;3;4;3;5;3;3;3;4;2;4;4
415;-99;-99;-99;-99;3;5;5;4;4;4;4;3
416;2;4;3;3;3;4;4;4;4;5;5;5
417;5;3;5;5;2;3;2;4;3;4;2;3
418;5;4;5;5;5;1;4;5;1;3;5;5
419;5;4;5;5;5;5;3;5;5;5;5;5
420;-99;-99;-99;-99;-99;-99;-99;-99;5;5;5;4
421;4;4;4;4;3;3;2;4;3;3;-99;3
422;4;4;3;1;4;4;4;4;4;4;4;4
423;4;4;4;5;4;5;5;5;4;5;4;5
424;4;3;3;3;3;5;4;4;4;4;5;4
425;-99;-99;-99;-99;5;5;5;5;5;5;5;4
426;4;4;4;4;5;5;5;5;5;5;5;5
427;5;5;5;5;5;5;4;5;4;5;5;4
428;5;5;5;5;5;5;5;4;1;1;1;3
429;5;5;5;5;4;5;4;4;2;2;4;3
430;3;4;3;3;5;5;5;5;5;5;5;5
431;5;5;3;1;5;3;4;4;4;3;4;4
432;3;4;4;4;5;5;5;5;5;4;5;5
433;4;3;5;1;4;5;4;4;3;4;4;4
434;-99;-99;-99;-99;3;3;1;3;3;3;3;3
435;4;3;5;2;-99;-99;-99;-99;5;4;4;4
436;3;4;4;3;5;3;2;4;5;3;4;5
437;3;1;1;1;4;4;4;3;4;3;4;3
438;4;3;3;2;3;2;2;1;3;3;2;3
439;3;3;3;3;4;4;5;5;5;5;5;5
440;4;4;3;3;5;5;5;5;5;5;4;-99
441;4;3;4;3;-99;-99;-99;-99;5;5;5;5
442;-99;-99;-99;-99;-99;-99;-99;-99;3;3;3;4
443;5;4;4;3;5;5;5;5;3;3;4;3
444;-99;-99;-99;-99;-99;-99;-99;-99;5;4;4;5
445;5;5;5;5;4;5;5;4;4;5;5;5
446;4;-99;4;4;-99;-99;-99;-99;5;5;5;5
447;4;3;3;3;4;3;4;4;4;4;4;4
448;4;3;-99;2;5;5;5;5;5;1;5;5
449;5;3;4;4;5;5;5;5;5;5;5;5
450;4;3;3;3;4;4;4;4;5;4;4;4
451;3;4;3;4;4;4;4;5;4;4;4;4
452;3;3;4;-99;-99;-99;-99;-99;5;4;4;4
453;3;2;3;3;3;4;4;4;3;4;5;4
454;5;4;4;4;5;3;3;5;4;4;3;4
455;5;5;5;5;3;3;3;3;3;3;3;2
456;4;3;4;5;5;5;5;5;5;2;3;5
457;4;4;4;4;3;4;3;3;3;3;5;5
458;4;3;3;3;3;5;5;3;3;3;1;5
459;-99;-99;-99;-99;2;3;2;3;3;4;4;4
460;5;3;5;1;5;5;5;5;5;5;5;5
461;4;4;3;2;5;5;5;5;5;5;5;5
462;5;5;5;3;5;4;4;4;5;4;5;5
463;4;3;4;5;3;3;3;3;4;4;5;3
464;5;5;5;5;5;5;5;5;5;5;5;5
465;-99;-99;-99;-99;-99;-99;-99;-99;5;5;4;5
466;5;5;5;5;-99;-99;-99;-99;5;5;5;5
467;3;5;5;4;-99;-99;-99;-99;5;4;5;4
468;4;4;4;4;1;3;3;1;1;3;3;3
469;5;5;5;5;3;4;4;4;4;4;4;4
470;5;4;3;5;4;4;4;4;4;3;3;4
471;5;4;5;5;5;5;4;5;-99;-99;-99;-99
472;5;5;5;5;5;5;5;5;5;3;5;5
473;2;3;3;3;4;5;5;5;4;-99;5;-99
474;5;5;5;5;4;3;3;4;3;2;2;3
475;2;4;3;4;3;1;3;3;2;1;3;2
476;4;3;3;3;3;3;3;3;4;2;2;2
477;5;5;5;5;1;2;3;3;1;1;1;5
478;4;3;3;4;5;3;4;3;5;5;4;5
479;4;5;5;5;5;3;5;4;5;4;5;4
480;3;2;3;3;-99;-99;-99;-99;4;4;4;4
481;5;4;4;4;5;5;5;5;4;5;5;3
482;4;4;4;5;3;3;3;2;5;5;4;3
483;3;1;1;1;4;4;3;3;5;5;5;4
484;4;4;3;-99;3;5;3;3;3;3;5;5
485;4;5;4;4;5;3;4;2;5;3;4;3
486;-99;-99;-99;-99;5;5;5;3;5;5;5;1
487;-99;-99;-99;-99;5;5;5;5;3;1;1;3
488;3;3;4;3;-99;-99;-99;-99;-99;-99;-99;-99
489;5;5;5;5;5;4;4;4;-99;-99;-99;-99
490;5;5;4;3;4;4;4;4;-99;-99;-99;-99
491;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
492;5;4;4;3;-99;-99;-99;-99;-99;-99;-99;-99
493;4;4;3;3;-99;-99;-99;-99;-99;-99;-99;-99
494;5;4;4;4;-99;-99;-99;-99;-99;-99;-99;-99
495;4;5;4;3;-99;-99;-99;-99;-99;-99;-99;-99
496;5;4;5;3;-99;-99;-99;-99;-99;-99;-99;-99
497;-99;-99;-99;-99;5;5;5;5;-99;-99;-99;-99
498;4;5;5;3;-99;-99;-99;-99;-99;-99;-99;-99
499;-99;-99;-99;-99;4;4;5;5;-99;-99;-99;-99
500;3;4;5;5;4;4;4;4;-99;-99;-99;-99
501;5;5;5;5;3;3;3;4;-99;-99;-99;-99
502;5;5;5;4;-99;-99;-99;-99;-99;-99;-99;-99
503;5;5;5;5;4;3;4;3;-99;-99;-99;-99
